,puma,above_lw,below_lw,above_pov,below_pov,pct_below_lw,pct_below_pov,code,name_x,flag,Unnamed: 3,Unnamed: 4,Unnamed: 5,state_fips,puma_short,name_y
44,11302,20096.0,20973.0,30292.0,10777.0,0.510677153084,0.262412038277,01 01302,Birmingham City (East) ,1,,,,1,1302,al
42,11302,20096.0,20973.0,30292.0,10777.0,0.510677153084,0.262412038277,01 01302,Birmingham City (East) ,1,,,,1,1302,al
242,4207,18043.0,18863.0,26609.0,10297.0,0.51110930472,0.279006123666,04 00207,Tucson City (Northwest) ,1,,,,4,207,az
241,4207,18043.0,18863.0,26609.0,10297.0,0.51110930472,0.279006123666,04 00207,Tucson City (Northwest) ,1,,,,4,207,az
240,4207,18043.0,18863.0,26609.0,10297.0,0.51110930472,0.279006123666,04 00207,Tucson City (Northwest) ,1,,,,4,207,az
2680,21800,20689.0,21695.0,31164.0,11220.0,0.511867685919,0.264722536806,21 00800,Cumberland Valley Area Development District (North) ,1,,,,21,800,ky
2681,21800,20689.0,21695.0,31164.0,11220.0,0.511867685919,0.264722536806,21 00800,Cumberland Valley Area Development District (North) ,1,,,,21,800,ky
2679,21800,20689.0,21695.0,31164.0,11220.0,0.511867685919,0.264722536806,21 00800,Cumberland Valley Area Development District (North) ,1,,,,21,800,ky
6177,484610,14476.0,15222.0,22481.0,7217.0,0.512559768335,0.243012997508,48 04610,Houston City (North)--West of Aldine & Inside Beltway TX-8 ,1,,,,48,4610,tx
6179,484610,14476.0,15222.0,22481.0,7217.0,0.512559768335,0.243012997508,48 04610,Houston City (North)--West of Aldine & Inside Beltway TX-8 ,1,,,,48,4610,tx
6178,484610,14476.0,15222.0,22481.0,7217.0,0.512559768335,0.243012997508,48 04610,Houston City (North)--West of Aldine & Inside Beltway TX-8 ,1,,,,48,4610,tx
666,63769,17176.0,18073.0,25896.0,9353.0,0.512723765213,0.265340860734,06 03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities ,1,,,,6,3769,ca
667,63769,17176.0,18073.0,25896.0,9353.0,0.512723765213,0.265340860734,06 03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities ,1,,,,6,3769,ca
668,63769,17176.0,18073.0,25896.0,9353.0,0.512723765213,0.265340860734,06 03769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities ,1,,,,6,3769,ca
778,66506,23818.0,25071.0,39453.0,9436.0,0.512814743603,0.193008652253,06 06506,Riverside County (Southwest)--Hemet City & East Hemet ,1,,,,6,6506,ca
777,66506,23818.0,25071.0,39453.0,9436.0,0.512814743603,0.193008652253,06 06506,Riverside County (Southwest)--Hemet City & East Hemet ,1,,,,6,6506,ca
779,66506,23818.0,25071.0,39453.0,9436.0,0.512814743603,0.193008652253,06 06506,Riverside County (Southwest)--Hemet City & East Hemet ,1,,,,6,6506,ca
457,63100,19138.0,20275.0,32222.0,7191.0,0.514424174765,0.182452490295,06 03100,Kings County--Hanford City ,1,,,,6,3100,ca
458,63100,19138.0,20275.0,32222.0,7191.0,0.514424174765,0.182452490295,06 03100,Kings County--Hanford City ,1,,,,6,3100,ca
456,63100,19138.0,20275.0,32222.0,7191.0,0.514424174765,0.182452490295,06 03100,Kings County--Hanford City ,1,,,,6,3100,ca
3158,254302,20724.0,21977.0,33918.0,8783.0,0.514671787546,0.205686049507,25 04302,Bristol County (Central)--Fall River City & Somerset Town ,1,,,,25,4302,ma
3156,254302,20724.0,21977.0,33918.0,8783.0,0.514671787546,0.205686049507,25 04302,Bristol County (Central)--Fall River City & Somerset Town ,1,,,,25,4302,ma
3157,254302,20724.0,21977.0,33918.0,8783.0,0.514671787546,0.205686049507,25 04302,Bristol County (Central)--Fall River City & Somerset Town ,1,,,,25,4302,ma
1094,69902,17304.0,18358.0,26151.0,9511.0,0.514777634457,0.266698446526,06 09902,Stanislaus County (Central)--Modesto City (West) ,1,,,,6,9902,ca
1093,69902,17304.0,18358.0,26151.0,9511.0,0.514777634457,0.266698446526,06 09902,Stanislaus County (Central)--Modesto City (West) ,1,,,,6,9902,ca
1092,69902,17304.0,18358.0,26151.0,9511.0,0.514777634457,0.266698446526,06 09902,Stanislaus County (Central)--Modesto City (West) ,1,,,,6,9902,ca
5147,401005,18900.0,20076.0,30946.0,8030.0,0.515086206897,0.206024220033,40 01005,Oklahoma County (Southeast)--Oklahoma City (East Central) ,1,,,,40,1005,ok
5146,401005,18900.0,20076.0,30946.0,8030.0,0.515086206897,0.206024220033,40 01005,Oklahoma County (Southeast)--Oklahoma City (East Central) ,1,,,,40,1005,ok
5145,401005,18900.0,20076.0,30946.0,8030.0,0.515086206897,0.206024220033,40 01005,Oklahoma County (Southeast)--Oklahoma City (East Central) ,1,,,,40,1005,ok
5826,473208,17277.0,18380.0,26388.0,9269.0,0.515466808761,0.259948958129,47 03208,Memphis City (Southwest) ,1,,,,47,3208,tn
5828,473208,17277.0,18380.0,26388.0,9269.0,0.515466808761,0.259948958129,47 03208,Memphis City (Southwest) ,1,,,,47,3208,tn
5827,473208,17277.0,18380.0,26388.0,9269.0,0.515466808761,0.259948958129,47 03208,Memphis City (Southwest) ,1,,,,47,3208,tn
4782,374900,19102.0,20372.0,29498.0,9976.0,0.516086537974,0.252723311547,37 04900,"Columbus, Bladen & Robeson (East) Counties ",1,,,,37,4900,nc
4784,374900,19102.0,20372.0,29498.0,9976.0,0.516086537974,0.252723311547,37 04900,"Columbus, Bladen & Robeson (East) Counties ",1,,,,37,4900,nc
4783,374900,19102.0,20372.0,29498.0,9976.0,0.516086537974,0.252723311547,37 04900,"Columbus, Bladen & Robeson (East) Counties ",1,,,,37,4900,nc
1061,68514,12571.0,13418.0,21647.0,4342.0,0.516295355727,0.167070683751,06 08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) ,1,,,,6,8514,ca
1060,68514,12571.0,13418.0,21647.0,4342.0,0.516295355727,0.167070683751,06 08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) ,1,,,,6,8514,ca
1059,68514,12571.0,13418.0,21647.0,4342.0,0.516295355727,0.167070683751,06 08514,Santa Clara County (Central)--San Jose City (East Central/East Valley) ,1,,,,6,8514,ca
5081,395503,20773.0,22212.0,30793.0,12192.0,0.516738397115,0.283633825753,39 05503,Cincinnati City (West) ,1,,,,39,5503,oh
5080,395503,20773.0,22212.0,30793.0,12192.0,0.516738397115,0.283633825753,39 05503,Cincinnati City (West) ,1,,,,39,5503,oh
5079,395503,20773.0,22212.0,30793.0,12192.0,0.516738397115,0.283633825753,39 05503,Cincinnati City (West) ,1,,,,39,5503,oh
3562,281700,23323.0,24947.0,36974.0,11296.0,0.516822042677,0.234016987777,28 01700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties ",1,,,,28,1700,ms
3563,281700,23323.0,24947.0,36974.0,11296.0,0.516822042677,0.234016987777,28 01700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties ",1,,,,28,1700,ms
3561,281700,23323.0,24947.0,36974.0,11296.0,0.516822042677,0.234016987777,28 01700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties ",1,,,,28,1700,ms
5408,422702,23241.0,24930.0,36822.0,11349.0,0.517531294762,0.235598181478,42 02702,Berks County (Southwest)--Reading City ,1,,,,42,2702,pa
5407,422702,23241.0,24930.0,36822.0,11349.0,0.517531294762,0.235598181478,42 02702,Berks County (Southwest)--Reading City ,1,,,,42,2702,pa
